Text,Pop_Extracted,Pop_Status,Pop_Precision,Int_Extracted,Int_Status,Int_Precision,Out_Extracted,Out_Status,Out_Precision
"Development of renal disease in people at high cardiovascular risk : results of the HOPE randomized study . In people with diabetes , renal disease tends to progress from microalbuminuria to clinical proteinuria to renal insufficiency . Little evidence has been published for the nondiabetic population . This study retrospectively analyzed changes of proteinuria over 4.5 yr in the HOPE ( Heart Outcomes and Prevention Evaluation ) study , which compared ramipril 's effects to placebo in 9297 participants , including 3577 with diabetes and 1956 with microalbuminuria . This report is restricted to 7674 participants with albuminuria data at baseline and at follow-up . Inclusion criteria were known vascular disease or diabetes plus one other cardiovascular risk factor , exclusion criteria included heart failure or known impaired left ventricular function , dipstick-positive proteinuria ( > 1+ ) , and serum creatinine > 2.3 mg/dl ( 200 microM ) . Baseline microalbuminuria predicted subsequent clinical proteinuria for the study participants overall ( adjusted odds ratio [ OR ] , 17.5 ; 95 % confidence interval [ CI ] , 12.6 to 24.4 ) , in participants without diabetes ( OR , 16.7 ; 95 % CI , 8.6 to 32.4 ) , and in participants with diabetes ( OR , 18.2 ; 95 % CI , 12.4 to 26.7 ) . Any progression of albuminuria ( defined as new microalbuminuria or new clinical proteinuria ) occurred in 1859 participants ; 1542 developed new microalbuminuria , and 317 participants developed clinical proteinuria . Ramipril reduced the risk for any progression ( OR , 0.87 ; 95 % CI , 0.78 to 0.97 ; P = 0.0146 ) . People without and with diabetes who are at high risk for cardiovascular disease are also at risk for a progressive rise in albuminuria . Microalbuminuria itself predicts clinical proteinuria in nondiabetic and in diabetic people . Ramipril prevents or delays the progression of albuminuria .",people at high cardiovascular risk,Hit (Relaxed),1.0,ramipril,Hit (Relaxed),1.0,progressive rise in albuminuria,Hit (Relaxed),1.0
"Conscious analgesia/sedation with remifentanil and propofol versus total intravenous anesthesia with fentanyl , midazolam , and propofol for outpatient colonoscopy . BACKGROUND This study tested the hypothesis that , for colonoscopy , analgesia/sedation with remifentanil and propofol might be more effective compared with anesthesia by intravenous administration of midazolam , fentanyl , and propofol . METHODS In a prospective , randomized trial , 100 adult patients received either conscious analgesia/sedation ( Sedation group ) or total intravenous anesthesia ( TIVA group ) . Analgesia/sedation was achieved by infusion of remifentanil ( 0.20 to 0.25 microg/kg/min ) and propofol in titrated doses . TIVA was induced by intravenous administration of fentanyl ( 2 microg/kg ) , midazolam ( 0.05 mg/kg ) and propofol ( dosage titrated ) . Cardiorespiratory parameters and bispectral index were monitored and recorded . The quality of the analgesia was assessed with a Numerical Pain Rating Scale ( NRS ) ; recovery level and return of psychomotor efficiency were evaluated with , respectively , the Aldrete scale and a Modified Post Anesthesia Discharge Scoring ( MPADS ) system . RESULTS Both groups of 50 patients were comparable with respect to demographic data , initial parameters , and duration of colonoscopy . All patients in the TIVA group found the colonoscopy painless ( NRS score 0 ) . In the Sedation group , the average pain intensity score was 0.4 ( 0.8 ) . There was a marked difference between the Sedation and TIVA groups with respect to the time from the end of the procedure until the maximum MPADS score was reached : respectively , -6.9 ( 4.0 ) versus 25.7 ( 8.4 ) minutes ( p < 0.001 ) . In the TIVA group , changes in mean arterial pressure and heart rate and signs of respiratory depression were significant ( p < 0.05 ) . CONCLUSIONS Combined administration of remifentanil and propofol for colonoscopy provides sufficient analgesia , satisfactory hemodynamic stability , minor respiratory depression , and rapid recovery , and allows patients to be discharged approximately 15 minutes after the procedure .",100 adult patients,Hit (Relaxed),1.0,conscious analgesia/sedation with remifentanil and propofol,Hit (Relaxed),1.0,"sufficient analgesia, satisfactory hemodynamic stability, minor respiratory depression, and rapid recovery",Hit (Relaxed),1.0
"Reduced platelet thromboxane formation after long-term administration of a dihydropyridine calcium channel blocker : a prospective , double-blind , placebo-controlled study with nitrendipine in borderline hypertensive patients with IDDM-type diabetes mellitus . Twenty-nine IDDM patients with borderline hypertension were randomly allocated to placebo or nitrendipine treatment . Nitrendipine was given orally at a dosage of 20 mg once daily over 4 weeks . Stimulated platelet thromboxane formation at rest and after standardized , non exhausting exercise was measured by standard methods . In addition , plasma levels of platelet factor 4 and aggregation responses to collagen and ADP were determined . In the treatment group thromboxane formation after stimulation with collagen ( 0.3 and 1.0 micrograms/ml ) and 1 mM arachidonic acid ( AA ) was reduced in the resting state . Exercise induced change of thromboxane synthesis in response to 1.0 micrograms/ml collagen was significantly lower as compared to placebo ( p < 0.05 ) . In parallel , PF4 plasma levels were significantly lowered ( p < 0.05 ) . Whole blood aggregation after collagen stimulation ( 1.0 micrograms/ml ) was reduced after 4 weeks of nitrendipine treatment , but ADP ( 5 microM ) induced aggregation was not . These effects of nitrendipine were not seen in platelet rich plasma . In conclusion long-term nitrendipine treatment may inhibit collagen dependent platelet activation in the blood of diabetic patients with borderline hypertension .",IDDM patients with borderline hypertension,Hit (Relaxed),1.0,nitrendipine treatment,Hit (Relaxed),1.0,reduced thromboxane formation,Hit (Relaxed),1.0
"Gastric dysrhythmia in infants with gastrointestinal diseases measured by epigastric impedance . BACKGROUND Gastrointestinal symptoms have been reported in association with myoelectrical dysrhythmia , where different types of gastric electrical activity have been described . These types of gastric myoelectrical activity and dysrhythmia can be measured by electrogastrography using cutaneous electrodes . Epigastric impedance is a non-invasive method used to study gastric emptying time and gastric phasic activity . At present no study of gastric dysrhythmia , measured with epigastric impedance , has been presented , and the purpose of the present study was to investigate gastric rhythms by means of impedance gastrography in control infants , compared to infants with different gastrointestinal diseases , before and after treatment of their disease . METHOD 21 patients ( age 0-2 months ) and 40 healthy infants ( age 0-2 months ) were investigated . The patients suffered from partial or total intestinal obstruction , necrotizing enterocolitis or pyloric stenosis.All infants were fasting and studied during periods of at least one hour . The patients were examined in the acute state and after treatment when possible . RESULTS A pathologic result was found in 90 % of the patients . A persistent phasic activity pattern was found in 19 of the 21 patients , high frequency phasic activity in 11 of the 21 patients . Short-term phasic activity was only found in 13 out of 40 of the normal infants ( 32.5 % ) . CONCLUSION Using epigastric impedance we found that infants with partial or total intestinal obstruction had gastric phasic activity , which was not found in the control infants . The origin of the gastric phasic activity patterns is unknown , but they may be related to electrical control activity .",infants with gastrointestinal diseases,Hit (Relaxed),1.0,epigastric impedance,Hit (Relaxed),1.0,gastric dysrhythmia,Hallucinated,0.0
"Prospective study of short and ultrashort regimens of gonadotropin-releasing hormone agonist in an in vitro fertilization program . OBJECTIVE To assess the usefulness of the ultrashort regimen of gonadotropin-releasing hormone agonist ( GnRH-a ) in ovulation induction in an in vitro fertilization ( IVF ) program . DESIGN A prospective randomized trial comparing short and ultrashort regimens of GnRH-a . SETTING Aberdeen Assisted Reproduction Unit . PATIENTS Forty-eight patients having IVF for the first time were randomized between the two protocols . MAIN OUTCOME MEASURES Response to ovarian stimulation and occurrence of spontaneous luteinizing hormone ( LH ) surges . RESULTS In ovulation induction , fertilization , and pregnancy rates the ultrashort regimen produces results that were no different to the short regimen but it did not always prevent an LH surge . CONCLUSION The ultrashort regimen can be a useful alternative for ovarian stimulation of patients undergoing IVF .",Forty-eight patients having IVF for the first time,Hit (Relaxed),1.0,short and ultrashort regimens of gonadotropin-releasing hormone agonist ( GnRH-a ),Hit (Relaxed),1.0,Response to ovarian stimulation and occurrence of spontaneous luteinizing hormone ( LH ) surges,Hit (Relaxed),1.0
"Long-term survival in a phase III , randomised study of topotecan versus paclitaxel in advanced epithelial ovarian carcinoma . BACKGROUND We have continued to monitor the survival of patients randomised in a previously reported multicentre phase III study of topotecan versus paclitaxel in patients with advanced epithelial ovarian cancer who had failed one prior platinum-based regimen . PATIENTS AND METHODS Patients with bidimensionally measurable disease were randomised to topotecan ( 1.5 mg/m ( 2 ) /day for 5 days ) or paclitaxel ( 175 mg/m ( 2 ) /day as a 3-h infusion ) every 21 days . Patients were eligible for treatment with the alternate therapy at third line . The European Organisation for Research and Treatment of Cancer Quality of Life ( EORTC QOL ) -C30 questionnaire was also used to measure eight symptoms at baseline and during each course ( pain , anorexia , diarrhoea , fatigue , nausea and vomiting , dyspnea , constipation and insomnia ) . RESULTS A total of 226 patients were evaluable for response . Demographic characteristics were similar in both treatment groups , as were results of the EORTC QOL-30 questionnaire . For the topotecan group , median time to progression was 18.9 weeks ( range < 1 to 92.6+ weeks ; 25 % censored ) , and , for paclitaxel , 14.7 weeks ( range < 1 to 137.3+ weeks ; 12.3 % censored ) ; P = 0.076 . At 4 years post-randomisation , median survival in the topotecan group was 63.0 weeks ( range < 1 to 238.4+ weeks ; 20.5 % censored ) and , for paclitaxel , 53.0 weeks ( range < 1 to 226.3+ weeks ; 12.3 % censored ) ; P = 0.44 . CONCLUSION Topotecan continues to demonstrate comparable efficacy and survival to paclitaxel with manageable and non-cumulative haematological toxicity . Non-haematological toxicity was generally mild for both groups . The long-term survival rate indicates substantial therapeutic benefit for this group of patients receiving topotecan at relapse of ovarian cancer .",patients with advanced epithelial ovarian cancer who had failed one prior platinum-based regimen,Hit (Relaxed),1.0,topotecan versus paclitaxel,Hit (Relaxed),1.0,long-term survival,Hallucinated,0.0
"Raising high-density lipoprotein in humans through inhibition of cholesteryl ester transfer protein : an initial multidose study of torcetrapib . OBJECTIVE The ability of the potent cholesteryl ester transfer protein ( CETP ) inhibitor torcetrapib ( CP-529,414 ) to raise high-density lipoprotein cholesterol ( HDL-C ) levels in healthy young subjects was tested in this initial phase 1 multidose study . METHODS AND RESULTS Five groups of 8 subjects each were randomized to placebo ( n=2 ) or torcetrapib ( n=6 ) at 10 , 30 , 60 , and 120 mg daily and 120 mg twice daily for 14 days . Torcetrapib was well tolerated , with all treated subjects completing the study . The correlation of plasma drug levels with inhibition ( EC50=43 nM ) was as expected based on in vitro potency ( IC50 approximately 50 nM ) , and increases in CETP mass were consistent with the proposed mechanism of inhibition . CETP inhibition increased with escalating dose , leading to elevations of HDL-C of 16 % to 91 % . Total plasma cholesterol did not change significantly because of a reduction in nonHDL-C , including a 21 % to 42 % lowering of low-density lipoprotein cholesterol at the higher doses . Apolipoprotein A-I and E were elevated 27 % and 66 % , respectively , and apoB was reduced 26 % with 120 mg twice daily . Cholesteryl ester content decreased and triglyceride increased in the nonHDL plasma fraction , with contrasting changes occurring in HDL . CONCLUSIONS These effects of CETP inhibition resemble those observed in partial CETP deficiency . This work serves as a prelude to further studies in subjects with low HDL , or combinations of dyslipidemia , in assessing the role of CETP in atherosclerosis .",healthy young subjects,Hit (Relaxed),1.0,"torcetrapib (CP-529,414)",Hit (Relaxed),1.0,elevations of HDL-C,Hallucinated,0.0
"A selective angiotensin receptor antagonist , Valsartan , produced regression of left ventricular hypertrophy associated with a reduction of arterial stiffness . We investigated whether a selective angiotensin II receptor blocker ( ARB ) would have a regressive effect on left ventricular hypertrophy ( LVH ) in patients on continuous ambulatory peritoneal dialysis ( CAPD ) . In a double-blind study , 24 CAPD patients with LVH [ left ventricular mass index ( LVMi ) > 110 g/m2 for women and LVMi > 137 g/m2 for men ] were randomized to 12 months ' administration of either the ARB valsartan ( n = 14 ) or a placebo ( n = 10 ) . The target blood pressure ( BP ) was 140/90 mmHg or lower in both groups . The following parameters were measured before and at the end of the study : aortic and large-artery compliance and arterial wave reflections [ pulse wave velocity ( PWV ) and augmentation index ( AI ) application tonometry ] and cardiac echocardiography . Periodically recorded were body weight , BP ( mercury sphygmomanometer ) , serum creatinine , electrolytes , complete blood cell counts , urine volume , drainage volume , and weekly creatinine clearance . Two-way analysis of variance for repeated measurements was used for statistical analysis . Systolic and diastolic BP were both reduced in patients treated with ARB . The LVMi was significantly reduced in patients treated with ARB ( to 121 +/- 4 from 145 +/- 5 ) but not in those receiving placebo ( to 137 +/- 3 from 152 +/- 3 , p < 0.05 ) . The decrease in LVMi was associated with a reduction in PWV and AI . In CAPD patients with LVH , ARB reduced LVMi in association with alterations in arterial hemodynamics .",CAPD patients with LVH,Hit (Relaxed),1.0,ARB valsartan,Hit (Relaxed),1.0,reduction in LVMi,Hit (Relaxed),1.0
"A pooled analysis of eastern cooperative oncology group and intergroup trials of adjuvant high-dose interferon for melanoma . PURPOSE Nearly 2000 patients with stage IIB and III melanoma have participated in four multicenter , randomized trials , conducted by the Eastern Cooperative Oncology Group and the Intergroup , investigating adjuvant high-dose IFN-alpha 2b therapy . The objectives of this study were to update the analyses of each individual trial and to analyze prognostic factors and treatment effects based on pooled data . EXPERIMENTAL DESIGN Survival and disease status were updated to April 2001 . Analysis of prognostic factors using optimized statistical models was based on data from patients in E1684 , E1690 , E1694 , and E2696 . Analysis of treatment effects versus observation ( Obs ) was based on data from 713 patients randomized to high-dose IFN-alpha 2b ( HDI ) or Obs in Trials E1684 and E1690 . RESULTS Updated analysis of E1684 , E1690 , and E1694 confirmed their original conclusions , now at median follow-up intervals of 2.1-12.6 years . Based on two-sided univariate log-rank analysis of pooled data from E1684 and E1690 ( median follow-up , 7.2 years ) , relapse-free survival ( RFS ) -but not overall survival ( OS ) -was significantly prolonged ( two-sided log-rank P value = 0.006 ) for patients treated with HDI versus Obs . Among all patients , prognostic factors that significantly negatively impacted RFS and OS included ulceration , recurrent disease at entry , enrollment in E1684 , and age > 49 years . Multivariate statistical models adjusting for these factors confirmed the statistically significant RFS benefit of HDI versus Obs but did not demonstrate a significant OS benefit in the pooled populations . CONCLUSIONS In patients with high-risk resected melanoma , HDI is effective adjuvant therapy with strong evidence for improved RFS and evidence for moderate improvement in OS based on two prospective randomized studies but not the pooled analysis . Analyses of predictors of relapse and response are now needed to improve the therapeutic value of this modality .",patients with stage IIB and III melanoma,Hit (Relaxed),1.0,adjuvant high-dose IFN-alpha 2b therapy,Hit (Relaxed),1.0,relapse-free survival (RFS) -but not overall survival (OS),Hit (Relaxed),1.0
"A randomized comparison of alternative techniques to achieve coronary sinus cannulation during biventricular implantation procedures . INTRODUCTION Biventricular pacing system implantation is a time-consuming and challenging procedure . A critical step in biventricular pacemaker implantation is coronary sinus ( CS ) cannulation . CS cannulation can be achieved either using dedicated guiding catheters ( guiding catheter alone positioning strategy , GCA ) or with the aid of an electrophysiology catheter advanced inside the guiding catheter ( electrophysiology catheter aided positioning strategy , EPA ) . AIM OF THE STUDY To evaluate whether the EPA technique is useful for reducing CS cannulation time compared to a conventional GCA technique . METHODS Thirty-four consecutive patients were randomly assigned to the GCA ( 18 patients ) or EPA ( 16 patients ) CS cannulation strategy . RESULTS Time to successful catheterization of CS was 5.0 +/- 2.4 min in the EPA group versus 10.1 +/- 5.4 min in the GCA group p = 0.004 . Fluoroscopy time was 4.6 +/- 2.3 min in the EPA group versus 9.2 +/- 4.9 min in the GCA group p = 0.004 . Total contrast dye volume to search and engage the CS ostium was 0.0 ml in the EPA group versus 14.3 +/- 3.4 ml in the GCA group p < 0.001 . CONCLUSIONS Cannulation of CS with the adjunct of an electrophysiology catheter to dedicated delivery systems significantly reduces procedural time , fluoroscopy time and contrast dye volume compared to a conventional strategy .",patients,Hit (Relaxed),1.0,electrophysiology catheter aided positioning strategy (EPA),Hit (Relaxed),1.0,"procedural time, fluoroscopy time and contrast dye volume",Hit (Relaxed),1.0
"Combined descriptive and explanatory information improves peers ' perceptions of autism . Authors examined the combined effects of descriptive and explanatory information on peers ' perceptions and behavioral intentions toward an unfamiliar child with autism . Children ( N = 576 ; M age = 10.06 ) were randomly assigned to view two videotapes of a boy engaging in typical and autistic behaviors receiving either descriptive ( AUT-D ) or descriptive and explanatory information ( AUT-D + E ) . Children responded to measures of attitudes ( Adjective Checklist ) and behavioral intentions ( Shared Activities Questionnaire ) . Children rated the typical boy more favorably than the boy showing autistic symptoms . When compared to descriptive information alone , the combination of descriptive and explanatory information resulted in improved third- and fourth-graders ' but not fifth-graders ' attitudes toward the child with autism . Combined information improved behavioral intentions across grades ; however , girls ( vs. boys ) were more responsive to information as evidenced by differences in academic intentions . The combination of descriptive and explanatory information about autism appears to have a positive effect on children 's attitudes and behavioral intentions . Implications of the findings are briefly discussed as well as study limitations and recommendations for future research .",children with autism,Hit (Relaxed),1.0,descriptive and explanatory information,Hallucinated,0.0,attitudes and behavioral intentions,Hit (Relaxed),1.0
"Superior visual search in adults with autism . Recent studies have suggested that children with autism perform better than matched controls on visual search tasks and that this stems from a superior visual discrimination ability . This study assessed whether these findings generalize from children to adults with autism . Experiments 1 and 2 showed that , like children , adults with autism were superior to controls at searching for targets . Experiment 3 showed that increases in target-distractor similarity slowed the visual search performance of the control group significantly more than that of the autism group , suggesting that the adults with autism have a superior visual discrimination ability . Thus , these experiments replicate in adults previous findings in children with autism . Superior unique item detection in adults with autism , stemming from enhanced discrimination , is discussed in the light of the possible role of stimulus processing disturbances in the disorder in general .",adults with autism,Hit (Relaxed),1.0,,None,,superior visual search,Hallucinated,0.0
"[ Postural biofeedback and locomotion reeducation in stroke patients ] . AIMS To compare , in post-acute hemiparetic patients , gait improvement after conventional physical therapy alone or with a specialised balance retraining program . PATIENTS Twenty-six patients within 3 months of onset of stroke were randomised to receive physical therapy ( control group ) or therapy and retraining ( experimental group ) , most of the patients in both groups with left hemiplegia . The experimental group was significantly older than the control group . METHOD Thirteen patients received early conventional therapy , and 13 received therapy combined with standing balance training by biofeedback ( BPM Monitor ) . Clinical measures were collected at entry ( J0 ) , once when subjects began to walk ( JM ) and 30 days later ( JM + 30 ) . Gait spatiotemporal parameters were collected by use of the Vicon system at JM and JM + 30 . RESULTS Whatever the method of rehabilitation , the clinical scores improved significantly between J0 and JM + 30 , except for spasticity . The time between stroke and the beginning of walking was not significantly different between both groups . Gait velocity increased significantly between JM and JM + 30 in both groups , with no difference between groups . The walking pattern was improved for both groups , with a significant increase of the duration of the paretic limb single stance . The experimental group significantly improved the duration of the reception double stance on the paretic limb between JM and JM + 30 compared with the control group ( P = 0.03 ) . CONCLUSION Both groups demonstrated improvement in the rehabilitation unit . The benefits of visual biofeedback by forceplate system training suggest particular improvement of anticipation equilibrium with conventional therapy .",post-acute hemiparetic patients,Hit (Relaxed),1.0,conventional physical therapy alone or with a specialised balance retraining program,Hit (Relaxed),1.0,gait improvement,Hit (Relaxed),1.0
"Cophenylcaine spray vs. placebo in flexible nasendoscopy : a prospective double-blind randomised controlled trial . Practices vary across the UK on the use of topical preparation prior to flexible fibreoptic nasendoscopy . In this double-blind study , we randomised 98 patients to receive cophenylcaine or placebo nasal spray before flexible nasendoscopy . A visual analogue scale ( 1-100 ) was used to record pain , unpleasantness of taste and overall discomfort experienced . Overall , the procedure was associated with minimal pain and discomfort in both groups . There was no significant difference in pain or overall discomfort experienced between the two groups ; however , the sensation of bad taste was significantly worse in the cophenylcaine group . In linear regression , factors that predicted the overall unpleasantness of the experience were primarily pain experienced and secondarily unpleasantness of taste . We conclude that the routine use of cophenylcaine for nasal preparation is not justified before flexible nasendoscopy .",patients,Hit (Relaxed),1.0,cophenylcaine spray,Hit (Relaxed),1.0,pain,Hit (Relaxed),1.0
"Effects of Saccharomyces boulardii in children with acute diarrhoea . AIM Certain probiotic agents , e.g . Lactobacillus GG , have shown efficacy in clinical trials for the treatment of acute childhood diarrhoea , but few studies have examined the effect of Saccharomyces boulardii . We evaluated the effect of S. boulardii in children with acute diarrhoea . METHODS Two hundred children were randomized to receive S. boulardii in a granulated form in a daily dose of 250 mg ( S. boulardii group ) or placebo ( placebo group ) for 5 d. Clinical and demographic characteristics on admission were similar between the study groups . RESULTS The medians of the average stool frequency after the second day of the treatment were significantly lower in the S. boulardii group than in the placebo group ( p = 0.003 ) . The duration of diarrhoea significantly reduced in the S. boulardii group compared with the placebo group ( 4.7 vs 5.5 d , p = 0.03 ) . The effect of S. boulardii on watery diarrhoea became apparent after the second day of the treatment . The duration of hospital stay was shorter in the S. boulardii group than in the placebo group ( 2.9 vs 3.9 d , p < 0.001 ) . Four children from the placebo group versus only one child from the S. boulardii group had persisting diarrhoea . CONCLUSION The placebo-controlled study suggested that S. boulardii significantly reduced the duration of acute diarrhoea and the duration of hospital stay . S. boulardii seems to be a promising agent for the amelioration of the course of acute diarrhoea in children when used therapeutically .",children with acute diarrhoea,Hit (Relaxed),1.0,Saccharomyces boulardii,Hit (Relaxed),1.0,duration of acute diarrhoea and duration of hospital stay,Hit (Relaxed),1.0
"[ Effect of branch chain amino acid enriched formula on postoperative fatigue and nutritional status after digestive surgery ] . OBJECTIVE To evaluate the effect of branch chain amino acid ( BCAA ) enriched formula on nutritional status and postoperative fatigue for digestive surgery patients . METHODS Forty patients who underwent digestive surgery were randomly received parenteral nutrition with either BCAA enriched ( study group , n=20 ) or routine amino acid ( control group , n=20 ) for seven consecutive days . Nitrogen balance , serum total protein , albumin , prealbumin , transferrin , retinol binding protein and postoperative fatigue score were monitored during the postoperative period . RESULTS The cumulative postoperative fatigue scores were lower in BCAA group than that in the control group at the 4th , 5th and 7th day after operation ( P < 0.05 ) . Patients achieved positive nitrogen balance 2 days earlier in the study group than that in the control group , but there was no significant difference in cumulative nitrogen balance between the two groups . There was no significant difference in elevation of serum total protein , albumin , prealbumin , transferrin at the 7th day after operation between the two groups ( P > 0.05 ) , compared with those at the first day after operation . The serum level of retinol binding protein was higher in BCAA-enriched group than that in the control group ( P=0.004 ) . CONCLUSION TPN with BCAA enriched formula can reduce postoperative fatigue score and improve the nutritional status for digestive surgery patients .",digestive surgery patients,Hit (Relaxed),1.0,BCAA enriched formula,Hit (Relaxed),1.0,postoperative fatigue score,Hit (Relaxed),1.0
"Intervention pilot for parents of children with autistic spectrum disorder . Parents of children who receive the diagnosis of autistic spectrum disorder ( ASD ) experience a situational crisis related to receiving the diagnosis , which causes feelings of distress and urgency to access services for the affected child . This paper describes a randomized trial ( n = 31 ) that was conducted at a regional diagnostic center of a large metropolitan children 's hospital to ( a ) refine a nursing intervention designed for parents of children with ASD and ( b ) to identify methodological revisions for a larger study . A secondary purpose was to test the effects of a post-diagnosis nursing intervention on parents ' reports of stress , impact of event ( diagnosis ) , and use of services after a child is newly diagnosed with ASD . The intervention consisted of usual care plus 3 hours contact with a pediatric nurse practitioner ( PNP ) for counseling , instruction , and assistance with implementation of the recommended treatment plan . The control group received only the usual care post-diagnosis , which consisted of a 1-hour consultation session to receive the results of diagnostic tests and a written copy of the recommended treatment plan provided by a developmental pediatrician and/or PNP . Between group differences in measures of "" impact of event "" and "" perceived stress "" were not statistically significant . This was attributed to a small sample size . A larger study is feasible and recommended with an expanded nursing intervention and a significantly larger sample recruited from an additional recruitment site . Nurses working with this special population must recognize that parents have information and counseling needs that begin after they receive the diagnosis of ASD for their child and can address these needs with a standardized nursing intervention .",parents of children with autistic spectrum disorder,Hit (Relaxed),1.0,"usual care plus 3 hours contact with a pediatric nurse practitioner (PNP) for counseling, instruction, and assistance with implementation of the recommended treatment plan",Hit (Relaxed),1.0,"impact of event (diagnosis), perceived stress",Hit (Relaxed),1.0
"Sleep-anticipating effects of melatonin in the human brain . Melatonin , the hormone produced nocturnally by the pineal gland , is an endogenous regulator of the sleep-wake cycle . The effects of melatonin on brain activities and their relation to induction of sleepiness were studied in a randomized , double-blind , placebo controlled functional magnetic resonance imaging ( fMRI ) study . Melatonin , but not placebo , reduced task-related activity in the rostro-medial aspect of the occipital cortex during a visual-search task and in the auditory cortex during a music task . These effects correlated with subjective measurements of fatigue . In addition , melatonin enhanced the activation in the left parahippocampus in an autobiographic memory task . Results demonstrate that melatonin modulates brain activity in a manner resembling actual sleep although subjects are fully awake . Furthermore , the fatigue inducing effect of melatonin on brain activity is essentially different from that of sleep deprivation thus revealing differences between fatigues related to the circadian sleep regulation as opposed to increased homeostatic sleep need . Our findings highlight the role of melatonin in priming sleep-associated brain activation patterns in anticipation of sleep .",the hormone produced nocturnally by the pineal gland,Hallucinated,0.0,melatonin,Hit (Relaxed),1.0,sleep,Hallucinated,0.0
"Phase III study of two different dosing schedules of erythropoietin in anemic patients with cancer . PURPOSE To compare maintenance epoetin alfa administered once every 3 weeks with continued weekly epoetin alfa for patients with cancer-associated anemia . PATIENTS AND METHODS Eligible patients were randomly assigned at enrollment to receive three weekly doses of epoetin alfa 40,000 U subcutaneously ( SC ) , followed by either standard weekly epoetin alfa ( 40K arm ) or 120,000 U of epoetin alfa ( 120K arm ) SC every 3 weeks for 18 additional weeks . RESULTS Three hundred sixty-five patients were enrolled . One hundred eighty-three patients were assigned to the 40K arm , and 182 were assigned to the 120K arm . There was no difference in the proportion of patients requiring transfusions during the study ( 23 % in 40K arm and 18 % in 120K arm , P = .22 ) or specifically during the maintenance phase ( 13 % in 40K arm v 15 % in 120K arm , P = .58 ) . Patients randomly assigned to the 40K arm were more likely to have a > or = 2 or > or = 3 g/dL hemoglobin ( Hb ) increment , were more likely to have a drug dose held because of high Hb , and had higher mean end-of-study Hb levels . Toxicities , including thromboembolism , and overall survival were similar . Patients in the 40K arm had a higher global quality of life ( QOL ) at baseline for unclear reasons , whereas patients in the 120K arm had a greater global QOL improvement during the study , so end-of-study QOL was equivalent . CONCLUSION After three weekly doses of epoetin alfa 40,000 U , a dose of 120,000 U can be administered safely once every 3 weeks without increasing transfusion needs or sacrificing QOL . The Hb increment is somewhat greater with continued weekly epoetin alfa . Lack of blinding as a result of different treatment schedules may have confounded results .",anemic patients with cancer,Hit (Relaxed),1.0,erythropoietin in two different dosing schedules,Hallucinated,0.0,"transfusion needs, quality of life, hemoglobin increment",Hallucinated,0.0
"Local immunotherapy by inhalation of a powder extract in asthma due to house dust mite Dermatophagoides pteronyssinus : a double-blind comparison with parenteral immunotherapy . To verify the efficacy and the tolerability of local immunotherapy ( LI ) by inhalation of a powder extract of house dust mite ( HDM ) , in comparison with parenteral immunotherapy ( PI ) by injection , 10 patients with asthma due to HDM were studied in a blind fashion . 5 patients ( Group A ) underwent LI and subcutaneous injections of placebo , 5 patients ( Group B ) underwent PI and inhalation of lactose for 6 months . In both groups each inhalation was preceded by premedication with disodium cromoglycate ( DSCG ) ( 40 mg ) . In Group A a significant decrease in symptoms score and in peak expiratory flow ( PEF ) -derived parameters was observed already after 3 months of treatment , and 2 patients lost the late component of the bronchial response to the challenge with HDM . No significant variation was found in bronchial responsiveness to methacholine and ultrasonically nebulized distilled water ( UNDW ) and in immunologic humoral and cellular parameters in peripheral blood after treatment in either group . No local important adverse reactions were observed in Group A and no systemic side effects were observed in either group . We conclude that LI is as effective as PI , but more rapid in its action , in the treatment of asthma due to HDM . Moreover , LI is locally well tolerated , providing DSCG is inhaled before each therapeutic inhalation , and does not induce systemic side effects .",10 patients with asthma due to house dust mite,Hit (Relaxed),1.0,local immunotherapy by inhalation of a powder extract,Hit (Relaxed),1.0,a significant decrease in symptoms score and in peak expiratory flow-derived parameters,Hit (Relaxed),1.0
"The safety of whey protein concentrate derived from the milk of cows immunized against Clostridium difficile . A whey protein concentrate prepared from the milk of cows that have been immunized against Clostridium difficile ( C. difficile ) and its toxins , toxin A and toxin B , is produced for use as a medical food for the dietary management of patients with C. difficile-associated diarrhea ( CDAD ) to prevent a relapse of the infection . The safety of anti-C. difficile whey protein concentrate ( anti-CD WPC ) is supported by analytical data comparing the composition of raw milk from immunized cows versus that from non-immunized cows , and the composition of anti-CD WPC versus that of regular whey protein concentrate . Additionally , a prospective clinical study was conducted in 77 patients with CDAD to demonstrate the safety of consuming anti-CD WPC to prevent relapse of the infection . This study , which included adverse event monitoring , physical examinations , and extensive hematological and biochemical assessments , showed that anti-CD WPC is safe to consume by patients with CDAD . The available analytical and clinical evidence demonstrate that anti-CD WPC is safe for use by individuals with CDAD , under the described conditions of use .",patients with C. difficile-associated diarrhea (CDAD),Hit (Relaxed),1.0,anti-C. difficile whey protein concentrate (anti-CD WPC),Hit (Relaxed),1.0,prevention of relapse of the infection,Hallucinated,0.0
